thumb_x,thumb_y,thumb_z,index_x,index_y,index_z,middle_x,middle_y,middle_z,lable
4.640567559,-4.435727681,0.758767851,1.39767231,-9.0162921,-0.062805066,0.655912893,-9.796690914,-0.153905697,A
4.649780429,-4.420007009,0.758616867,1.400033684,-8.984530005,-0.062900818,0.656659498,-9.762253361,-0.153986957,A
4.657191598,-4.412095455,0.758466236,1.401826116,-8.968666905,-0.063004085,0.657094623,-9.745104086,-0.154074065,A
4.666962988,-4.403134208,0.758189247,1.404185806,-8.950809827,-0.063135483,0.657623167,-9.72579622,-0.154173364,A
4.67262096,-4.398952228,0.758010425,1.405510403,-8.94256753,-0.063221563,0.657850352,-9.716891485,-0.154238499,A
4.684368562,-4.393090817,0.757643217,1.408544694,-8.931050495,-0.06332531,0.658720539,-9.704412242,-0.154298974,A
4.693289991,-4.390579789,0.757215369,1.41072111,-8.926415596,-0.063426716,0.659150198,-9.699392474,-0.154350193,A
4.702220279,-4.3884796,0.756711971,1.412872294,-8.922717155,-0.063530109,0.659498892,-9.695354799,-0.154394696,A
4.712290898,-4.392300202,0.756116443,1.415374817,-8.931136243,-0.063623053,0.659983907,-9.704460339,-0.154417765,A
4.718989893,-4.396759342,0.755600195,1.416887761,-8.940934106,-0.063716458,0.659994615,-9.71503284,-0.154450837,A
4.721281225,-4.406422256,0.755211585,1.417081283,-8.961407094,-0.063820534,0.659352556,-9.737172959,-0.154510371,A
4.726643675,-4.436886812,0.754911639,1.418213316,-9.024249419,-0.063929134,0.659144508,-9.805327381,-0.154585266,A
4.734598361,-4.466570421,0.754521871,1.420104414,-9.085642347,-0.064036482,0.65923818,-9.871873596,-0.154648874,A
4.741306505,-4.499453153,0.754161389,1.421611095,-9.153677303,-0.064150643,0.659119577,-9.945599324,-0.154724553,A
4.746114637,-4.536264127,0.75384016,1.422554517,-9.229788238,-0.064267446,0.658733092,-10.02807108,-0.154809851,A
4.746606586,-4.59318408,0.753344097,1.422181817,-9.34701402,-0.064377654,0.657675457,-10.1551762,-0.154869411,A
4.746267368,-4.662022638,0.752871136,1.421579829,-9.488601383,-0.064486471,0.656520926,-10.30873311,-0.154930724,A
4.749159931,-4.732168667,0.752292247,1.421948812,-9.633013298,-0.064587769,0.655795525,-10.46534266,-0.154972351,A
4.748253389,-4.803209148,0.751661835,1.421166084,-9.779515555,-0.064691007,0.6544828,-10.62418952,-0.155011305,A
4.742898767,-4.869157093,0.751019481,1.419078311,-9.915788164,-0.064787014,0.652587821,-10.77191831,-0.155041616,A
4.737416959,-4.927808948,0.750408006,1.416963902,-10.03739096,-0.064885166,0.650668841,-10.9036962,-0.155077159,A
4.731493677,-4.986981751,0.749830168,1.414717357,-10.1602888,-0.064989529,0.648655928,-11.03686234,-0.155122689,A
4.724292598,-5.042908994,0.749318166,1.412106612,-10.27669111,-0.065097,0.646481707,-11.16296893,-0.155178869,A
4.717052407,-5.093270355,0.748808873,1.409483689,-10.38196266,-0.065207703,0.644275945,-11.27695359,-0.155239709,A
4.707964535,-5.12467064,0.748290867,1.406326264,-10.44866374,-0.065314484,0.641838743,-11.34902439,-0.155297526,A
4.698073233,-5.154505267,0.74779617,1.402949809,-10.51217021,-0.065419624,0.639320742,-11.41762655,-0.155356495,A
4.686078823,-5.186221381,0.747323671,1.398951603,-10.57959173,-0.06552808,0.636508114,-11.49047558,-0.155421831,A
4.674981117,-5.214015202,0.746871976,1.395243431,-10.6389223,-0.065633625,0.63385631,-11.55454416,-0.155486424,A
4.661520767,-5.243016284,0.746379523,1.390829549,-10.70081376,-0.065739102,0.630859442,-11.62137371,-0.155546398,A
4.649243837,-5.268183067,0.745914207,1.386794966,-10.75469353,-0.065841346,0.628072842,-11.67952049,-0.155605985,A
4.63601662,-5.31953193,0.745449933,1.382467381,-10.86219819,-0.065951396,0.625106814,-11.79587141,-0.155674796,A
4.62423964,-5.363458338,0.745018849,1.378604217,-10.95438598,-0.06605564,0.622413947,-11.89560966,-0.155741027,A
4.612943464,-5.403672056,0.744588464,1.374887072,-11.03904968,-0.066161489,0.619782171,-11.98717137,-0.155809165,A
4.602197283,-5.439299339,0.744159061,1.371334716,-11.11440867,-0.066269257,0.617218354,-12.06862845,-0.155879518,A
4.588374948,-5.460759031,0.743759223,1.36686994,-11.16083191,-0.066379021,0.614248975,-12.11865721,-0.155955718,A
4.575219011,-5.479741198,0.743355452,1.3626038,-11.2020723,-0.06649025,0.611357813,-12.163055,-0.15603334,A
4.563367214,-5.495917945,0.742976722,1.358750831,-11.23721536,-0.066594873,0.608712646,-12.20084839,-0.156106475,A
4.551434966,-5.510948665,0.742576443,1.35484796,-11.27001675,-0.066705732,0.60599653,-12.2360648,-0.156184141,A
4.540425201,-5.523561223,0.742189231,1.35122581,-11.29754082,-0.066814531,0.603444114,-12.26556487,-0.15625901,A
4.528631012,-5.536471637,0.741791345,1.34737246,-11.3254939,-0.066920196,0.600824035,-12.29557829,-0.156330863,A
4.51739054,-5.548018065,0.741399704,1.343675295,-11.35051312,-0.067026074,0.598306552,-12.32244737,-0.156407988,A
4.506462662,-5.558324094,0.741004051,1.34004039,-11.37285837,-0.067137062,0.595825045,-12.34640949,-0.156490435,A
4.496012584,-5.567168162,0.740610044,1.336505791,-11.39217686,-0.067253791,0.593412861,-12.36704807,-0.15657455,A
4.486130546,-5.574763656,0.740225399,1.333121823,-11.40894883,-0.067372394,0.591102525,-12.38489694,-0.156656787,A
4.476765881,-5.581398239,0.73985195,1.329888678,-11.42373813,-0.067490131,0.588892475,-12.4005791,-0.156735937,A
4.46728279,-5.584726598,0.739478187,1.326605993,-11.43179178,-0.067609728,0.586671265,-12.40891944,-0.156813579,A
4.457199529,-5.57382744,0.739081096,1.323130184,-11.41077862,-0.067729642,0.584365657,-12.38567877,-0.156885801,A
4.441005677,-5.54600793,0.738637135,1.317730442,-11.35542366,-0.067878371,0.58106149,-12.32505876,-0.156978493,A
4.430822968,-5.52843058,0.738367043,1.314343409,-11.32040669,-0.06796911,0.579012174,-12.28671504,-0.157034022,A
4.41346907,-5.498046416,0.738010974,1.308699071,-11.25944547,-0.068091135,0.57579189,-12.22008662,-0.157108276,A
4.395089665,-5.467789961,0.737540848,1.302590081,-11.1990749,-0.068252737,0.572138536,-12.15394807,-0.157206517,A
4.386636063,-5.453748628,0.737338759,1.299802798,-11.17098228,-0.068321805,0.57050047,-12.1231969,-0.157248459,A
4.362051664,-5.411246825,0.736367512,1.291006941,-11.08736771,-0.068686061,0.564693662,-12.03106407,-0.157468017,A
4.355253054,-5.399632868,0.736040904,1.288491418,-11.06471973,-0.068805759,0.562964518,-12.00600635,-0.157536582,A
4.345887407,-5.378936605,0.735706786,1.28519494,-11.02354708,-0.068929635,0.560891885,-11.96081475,-0.157605202,A
4.336283736,-5.358070067,0.735347045,1.281771994,-10.98217358,-0.069066703,0.558722123,-11.91534173,-0.157679423,A
4.328909976,-5.341950802,0.735073305,1.279141119,-10.95020747,-0.06917254,0.557066061,-11.88020788,-0.157736223,A
4.319965158,-5.323511308,0.734745604,1.27597478,-10.91368077,-0.069293699,0.555115118,-11.8400817,-0.157800448,A
4.308423547,-5.314816332,0.734601943,1.272040654,-10.8970777,-0.069433299,0.552852088,-11.82161227,-0.15790926,A
4.296579248,-5.305061566,0.734411152,1.267941222,-10.87835431,-0.069592115,0.550461065,-11.80084511,-0.158035035,A
4.287028562,-5.297193072,0.734250405,1.264622524,-10.86303358,-0.069725094,0.548523788,-11.78387072,-0.158142769,A
4.277084857,-5.2890734,0.734086467,1.261169981,-10.84702216,-0.069864859,0.546518789,-11.76615753,-0.158258837,A
4.267429254,-5.280966208,0.733906372,1.257785416,-10.83096802,-0.070009791,0.544537437,-11.74840805,-0.158380206,A
4.260031176,-5.27161263,0.733700876,1.255087076,-10.81229178,-0.070146923,0.542884069,-11.72785016,-0.158492192,A
4.251627476,-5.260873874,0.73343621,1.25197288,-10.79096032,-0.070315557,0.540962524,-11.7043973,-0.158633813,A
4.244063144,-5.256871359,0.733443918,1.249363406,-10.78309641,-0.070433264,0.53949502,-11.69570658,-0.158757666,A
4.234547049,-5.252448842,0.733506601,1.246146814,-10.77439172,-0.070567198,0.53773497,-11.68612098,-0.158909056,A
4.226568993,-5.248590007,0.733554281,1.243447839,-10.76688283,-0.070679763,0.536255593,-11.67788368,-0.159039205,A
4.219473355,-5.242316652,0.733623348,1.241058758,-10.75450542,-0.070778205,0.534956996,-11.66439245,-0.159158746,A
4.213167749,-5.236756911,0.733699782,1.238952124,-10.74364412,-0.070861306,0.533825773,-11.65257239,-0.159263893,A
4.207473612,-5.23173201,0.733783135,1.237065215,-10.73392704,-0.070932018,0.532824908,-11.64201369,-0.159357377,A
4.202340665,-5.227237733,0.733870754,1.235377721,-10.72530861,-0.070991673,0.53194001,-11.63265717,-0.159440128,A
4.197616611,-5.223113254,0.733961453,1.233835839,-10.71750915,-0.071042697,0.531138713,-11.62420277,-0.159514953,A
4.193307372,-5.219309106,0.734052243,1.23243901,-10.71039023,-0.071085511,0.530417954,-11.61650405,-0.159582126,A
4.191910916,-5.211601461,0.734123826,1.231920028,-10.69529765,-0.071118541,0.530091754,-11.60016603,-0.159637372,A
4.190705747,-5.204509899,0.734198185,1.231477791,-10.68144114,-0.071144663,0.529814678,-11.5851768,-0.159685749,A
4.189665479,-5.197951216,0.73427511,1.231102176,-10.66867301,-0.071165014,0.529577984,-11.57135798,-0.159726383,A
4.188872888,-5.191002542,0.734361553,1.23080988,-10.65511231,-0.071182347,0.529385558,-11.55666761,-0.159763175,A
4.188181213,-5.184440753,0.73444764,1.230556192,-10.64236293,-0.071196188,0.529217412,-11.54285943,-0.159795265,A
4.187847023,-5.1783444,0.734530013,1.230415871,-10.63052668,-0.071207239,0.52910671,-11.53003385,-0.159822819,A
4.18720048,-5.172545509,0.73466603,1.230189443,-10.61926813,-0.071221445,0.528961364,-11.51781378,-0.159856985,A
4.187207136,-5.165254256,0.734866021,1.230160739,-10.60492183,-0.071239667,0.52889686,-11.50220602,-0.159898172,A
4.187873564,-5.157753325,0.735054782,1.230336969,-10.59003049,-0.071253698,0.528920421,-11.48598701,-0.159932072,A
4.189209052,-5.149745622,0.735239186,1.23071983,-10.57403003,-0.071263042,0.529028088,-11.46856344,-0.159961402,A
4.190447271,-5.1424228,0.735410182,1.231087917,-10.55934504,-0.071265624,0.529126539,-11.45258742,-0.15998624,A
4.191007772,-5.134568509,0.735641559,1.231273778,-10.54347463,-0.071266832,0.529140085,-11.43537544,-0.160023213,A
4.191677935,-5.127777095,0.735853462,1.231499449,-10.52966921,-0.07126435,0.52917654,-11.42044416,-0.160057952,A
4.192107993,-5.126348114,0.736160731,1.231663262,-10.52679972,-0.071267443,0.529184325,-11.4174219,-0.160114025,A
4.193389317,-5.13236717,0.736544921,1.232079235,-10.53918455,-0.071277602,0.529303605,-11.4309729,-0.160188315,A
4.194586107,-5.138006649,0.736903993,1.232470706,-10.55074085,-0.07128552,0.529411837,-11.44364061,-0.160256068,A
4.195689371,-5.143178281,0.737234942,1.232833094,-10.5613278,-0.071291385,0.529501704,-11.45523227,-0.160314118,A
4.195805881,-5.143943535,0.737505562,1.232905495,-10.56284387,-0.071291894,0.529460196,-11.45693729,-0.160354836,A
4.19559661,-5.143529723,0.73775029,1.232887125,-10.56189909,-0.071287096,0.52936566,-11.45594128,-0.160384453,A
4.195378269,-5.143115958,0.737981449,1.232880329,-10.56085745,-0.071273085,0.529256749,-11.45487486,-0.160406339,A
4.195205303,-5.142778432,0.73815395,1.232878235,-10.55997514,-0.071259337,0.52917573,-11.45403294,-0.160424196,A
4.194060048,-5.150573236,0.738402022,1.232605407,-10.57571263,-0.071243256,0.528964355,-11.4713382,-0.160458507,A
4.193046646,-5.157234233,0.73861392,1.232374393,-10.5891134,-0.071220776,0.528770063,-11.48619283,-0.160488287,A
4.191819952,-5.164283691,0.738861792,1.232085961,-10.60327656,-0.071196705,0.528546597,-11.50200082,-0.160530286,A
4.190773909,-5.170096787,0.739066019,1.231841276,-10.61494008,-0.071173222,0.528355033,-11.51511646,-0.160568636,A
4.190186224,-5.176484944,0.739245103,1.231732309,-10.62780327,-0.071144399,0.52821452,-11.52963232,-0.160605824,A
4.188748939,-5.197822028,0.739512445,1.231364302,-10.67141501,-0.0711282,0.527966384,-11.57751003,-0.160666097,A
4.187309129,-5.218404276,0.739766052,1.230991385,-10.71349453,-0.071110726,0.527709696,-11.62379046,-0.160727769,A
4.187138569,-5.263546442,0.7399231,1.230985601,-10.80602686,-0.071085794,0.527598716,-11.72487004,-0.16077294,A
4.186079528,-5.314951265,0.740059009,1.230713166,-10.91139333,-0.071056895,0.52733663,-11.84006143,-0.160822241,A
4.184719569,-5.359218127,0.740154101,1.23033606,-11.00213665,-0.071036538,0.527046925,-11.93925498,-0.160863086,A
4.183093906,-5.407176967,0.740241434,1.229871512,-11.10043581,-0.071015886,0.526679408,-12.04681255,-0.160911922,A
4.184185814,-5.457341269,0.740164232,1.230189964,-11.20323731,-0.070984003,0.526602927,-12.15939465,-0.160936205,A
4.182383432,-5.496907819,0.740056053,1.229641637,-11.28428738,-0.070958104,0.526150382,-12.24833135,-0.160957497,A
4.179892081,-5.544521313,0.739894773,1.228863789,-11.38182726,-0.070934204,0.525525824,-12.35539072,-0.160985155,A
4.177350542,-5.579021655,0.739753466,1.228069218,-11.45252289,-0.070919905,0.52494929,-12.43302585,-0.16100615,A
4.173618259,-5.624477826,0.73956828,1.226891969,-11.54573915,-0.070909286,0.524123707,-12.53534389,-0.161036714,A
4.168363862,-5.661435446,0.739406133,1.225250248,-11.62151178,-0.070908084,0.523084809,-12.61868575,-0.161075912,A
6.475520337,-3.658179213,0.766717153,2.053158388,-4.613302512,-0.050198169,1.115059374,-4.954647678,-0.192120111,A
6.479172861,-3.658102794,0.76767672,2.054275632,-4.6135824,-0.050258234,1.115621192,-4.955011774,-0.192337861,A
6.482389753,-3.657983396,0.768515311,2.055236126,-4.613825762,-0.050309872,1.116104155,-4.955327517,-0.192525616,A
6.485048141,-3.657882991,0.769200677,2.056015742,-4.614051402,-0.050351598,1.116498235,-4.955608501,-0.192678116,A
6.487552433,-3.657798235,0.769838792,2.056739998,-4.614288819,-0.050390085,1.116867374,-4.955895396,-0.192819753,A
6.491488189,-3.65621471,0.770498772,2.057913916,-4.612626507,-0.050429915,1.117485236,-4.954135605,-0.192967381,A
6.494656115,-3.655259728,0.771101099,2.058843619,-4.611738162,-0.050465989,1.117974867,-4.953202722,-0.193101319,A
